total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
14	-90.26964865	2.18430807	12	2	(2, 3, 2)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	2.785	1.0	5.697	4.0479	6.2042
14	-85.57729957	2.36410001	1	1	(1, 1, 1)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	3.084	1.0	5.697	4.0479	6.2042
14	-90.26082398	1.7286148	36	8	(3, 4, 3)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	7.987	1.0	5.697	4.0479	6.2042
14	-90.58361739	1.81697257	96	12	(4, 6, 4)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	9.705	1.0	5.697	4.0479	6.2042
14	-90.61684761	1.89878396	175	36	(5, 7, 5)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	20.224	1.0	5.697	4.0479	6.2042
14	-90.5970087	1.95977275	288	36	(6, 8, 6)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	20.736	1.0	5.697	4.0479	6.2042
14	-90.56749412	1.91766753	420	60	(7, 10, 6)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	34.731	1.0	5.697	4.0479	6.2042
14	-90.56827793	1.85844458	616	96	(8, 11, 7)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	56.353	1.0	5.697	4.0479	6.2042
14	-90.58056471	1.84050987	936	140	(9, 13, 8)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	74.815	1.0	5.697	4.0479	6.2042
14	-90.58907388	1.88498783	1260	175	(10, 14, 9)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	91.195	1.0	5.697	4.0479	6.2042
14	-90.58478728	1.91212398	1650	240	(11, 15, 10)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	136.866	1.0	5.697	4.0479	6.2042
14	-90.57979153	1.88428703	2808	378	(13, 18, 12)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	217.223	1.0	5.697	4.0479	6.2042
14	-90.58254746	1.8634788	3640	490	(14, 20, 13)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	262.142	1.0	5.697	4.0479	6.2042
14	-90.58032449	1.90220152	2244	324	(12, 17, 11)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	291.249	1.0	5.697	4.0479	6.2042
14	-90.58408156	1.89624781	5520	768	(16, 23, 15)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	371.749	1.0	5.697	4.0479	6.2042
14	-90.58515188	1.87805598	4410	616	(15, 21, 14)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	500.602	1.0	5.697	4.0479	6.2042
14	-90.58206977	1.89376997	6528	864	(17, 24, 16)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	510.577	1.0	5.697	4.0479	6.2042
14	-90.58176926	1.8855146	7650	1053	(18, 25, 17)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	542.242	1.0	5.697	4.0479	6.2042
14	-90.5837586	1.87997585	10080	1260	(20, 28, 18)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	713.937	1.0	5.697	4.0479	6.2042
14	-90.58279797	1.87899888	8721	1260	(19, 27, 17)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	752.674	1.0	5.697	4.0479	6.2042
14	-90.58352207	1.88962604	11970	1650	(21, 30, 19)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	833.112	1.0	5.697	4.0479	6.2042
14	-90.58275915	1.88894245	13640	1760	(22, 31, 20)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	1087.505	1.0	5.697	4.0479	6.2042
14	-90.58288763	1.8832243	17952	2244	(24, 34, 22)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	1169.962	1.0	5.697	4.0479	6.2042
14	-90.58268216	1.88615803	15456	2112	(23, 32, 21)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	1257.864	1.0	5.697	4.0479	6.2042
