total atom count	total energy	total kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)
14	-90.26964865	12	(2, 3, 2)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	2.785
14	-85.57729957	1	(1, 1, 1)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	3.084
14	-90.26082398	36	(3, 4, 3)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	7.987
14	-90.58361739	96	(4, 6, 4)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	9.705
14	-90.61684761	175	(5, 7, 5)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	20.224
14	-90.5970087	288	(6, 8, 6)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	20.736
14	-90.56749412	420	(7, 10, 6)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	34.731
14	-90.56827793	616	(8, 11, 7)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	56.353
14	-90.58056471	936	(9, 13, 8)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	74.815
14	-90.58907388	1260	(10, 14, 9)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	91.195
14	-90.58478728	1650	(11, 15, 10)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	136.866
14	-90.57979153	2808	(13, 18, 12)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	217.223
14	-90.58254746	3640	(14, 20, 13)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	262.142
14	-90.58032449	2244	(12, 17, 11)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	291.249
14	-90.58408156	5520	(16, 23, 15)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	371.749
14	-90.58515188	4410	(15, 21, 14)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	500.602
14	-90.58206977	6528	(17, 24, 16)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	510.577
14	-90.58176926	7650	(18, 25, 17)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	542.242
14	-90.5837586	10080	(20, 28, 18)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	713.937
14	-90.58279797	8721	(19, 27, 17)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	752.674
14	-90.58352207	11970	(21, 30, 19)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	833.112
14	-90.58275915	13640	(22, 31, 20)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	1087.505
14	-90.58288763	17952	(24, 34, 22)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	1169.962
14	-90.58268216	15456	(23, 32, 21)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	1257.864
