total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
14	-88.32348581	-0.3103598	-5.998460614999999	1260	(10, 14, 9)	200.0	1.0	5.697
14	-89.26034298	-0.3103598	-6.065378984285715	1260	(10, 14, 9)	220.0	1.0	5.697
14	-89.78544659	-0.3103598	-6.102886385000001	1260	(10, 14, 9)	240.0	1.0	5.697
14	-90.08052321	-0.3103598	-6.1239632864285705	1260	(10, 14, 9)	260.0	1.0	5.697
14	-90.26445927	-0.3103598	-6.137101576428571	1260	(10, 14, 9)	280.0	1.0	5.697
14	-90.40982958	-0.3103598	-6.14748517	1260	(10, 14, 9)	300.0	1.0	5.697
14	-90.49713659	-0.3103598	-6.153721384999999	1260	(10, 14, 9)	320.0	1.0	5.697
14	-90.54877937	-0.3103598	-6.157410155	1260	(10, 14, 9)	340.0	1.0	5.697
14	-90.57564878	-0.3103598	-6.159329398571428	1260	(10, 14, 9)	360.0	1.0	5.697
14	-90.58596424	-0.3103598	-6.160066217142857	1260	(10, 14, 9)	380.0	1.0	5.697
14	-90.58813096	-0.3103598	-6.160220982857142	1260	(10, 14, 9)	400.0	1.0	5.697
14	-90.58741278	-0.3103598	-6.160169684285713	1260	(10, 14, 9)	420.0	1.0	5.697
14	-90.58679508	-0.3103598	-6.160125562857142	1260	(10, 14, 9)	440.0	1.0	5.697
14	-90.58754504	-0.3103598	-6.160179131428571	1260	(10, 14, 9)	460.0	1.0	5.697
14	-90.58907388	-0.3103598	-6.160288334285714	1260	(10, 14, 9)	480.0	1.0	5.697
14	-90.59161162	-0.3103598	-6.160469601428572	1260	(10, 14, 9)	500.0	1.0	5.697
14	-90.59465781	-0.3103598	-6.160687186428571	1260	(10, 14, 9)	520.0	1.0	5.697
14	-90.59780018	-0.3103598	-6.160911641428571	1260	(10, 14, 9)	540.0	1.0	5.697
14	-90.60112638	-0.3103598	-6.161149227142857	1260	(10, 14, 9)	560.0	1.0	5.697
14	-90.60460383	-0.3103598	-6.161397616428571	1260	(10, 14, 9)	580.0	1.0	5.697
14	-90.60772594	-0.3103598	-6.161620624285713	1260	(10, 14, 9)	600.0	1.0	5.697
14	-90.61053837	-0.3103598	-6.161821512142857	1260	(10, 14, 9)	620.0	1.0	5.697
14	-90.61303712	-0.3103598	-6.161999994285714	1260	(10, 14, 9)	640.0	1.0	5.697
14	-90.61513936	-0.3103598	-6.1621501542857136	1260	(10, 14, 9)	660.0	1.0	5.697
14	-90.61683732	-0.3103598	-6.162271437142857	1260	(10, 14, 9)	680.0	1.0	5.697
14	-90.61813485	-0.3103598	-6.162364117857144	1260	(10, 14, 9)	700.0	1.0	5.697
14	-90.61901351	-0.3103598	-6.1624268792857135	1260	(10, 14, 9)	720.0	1.0	5.697
14	-90.61957665	-0.3103598	-6.162467103571428	1260	(10, 14, 9)	740.0	1.0	5.697
14	-90.6199545	-0.3103598	-6.162494092857143	1260	(10, 14, 9)	760.0	1.0	5.697
14	-90.62017962	-0.3103598	-6.162510172857144	1260	(10, 14, 9)	780.0	1.0	5.697
14	-90.62028494	-0.3103598	-6.1625176957142855	1260	(10, 14, 9)	800.0	1.0	5.697
14	-90.6203502	-0.3103598	-6.162522357142858	1260	(10, 14, 9)	820.0	1.0	5.697
14	-90.62042754	-0.3103598	-6.162527881428572	1260	(10, 14, 9)	840.0	1.0	5.697
14	-90.62051808	-0.3103598	-6.162534348571429	1260	(10, 14, 9)	860.0	1.0	5.697
14	-90.62062159	-0.3103598	-6.162541742142857	1260	(10, 14, 9)	880.0	1.0	5.697
14	-90.62076021	-0.3103598	-6.162551643571429	1260	(10, 14, 9)	900.0	1.0	5.697
14	-90.62094846	-0.3103598	-6.162565089999999	1260	(10, 14, 9)	920.0	1.0	5.697
14	-90.62116846	-0.3103598	-6.162580804285715	1260	(10, 14, 9)	940.0	1.0	5.697
14	-90.62139657	-0.3103598	-6.162597097857143	1260	(10, 14, 9)	960.0	1.0	5.697
14	-90.62162762	-0.3103598	-6.16261360142857	1260	(10, 14, 9)	980.0	1.0	5.697
14	-90.62186602	-0.3103598	-6.16263063	1260	(10, 14, 9)	1000.0	1.0	5.697
14	-90.62210639	-0.3103598	-6.162647799285714	1260	(10, 14, 9)	1020.0	1.0	5.697
14	-90.62233808	-0.3103598	-6.16266434857143	1260	(10, 14, 9)	1040.0	1.0	5.697
14	-90.62254916	-0.3103598	-6.162679425714286	1260	(10, 14, 9)	1060.0	1.0	5.697
14	-90.62273366	-0.3103598	-6.162692604285714	1260	(10, 14, 9)	1080.0	1.0	5.697
14	-90.62288802	-0.3103598	-6.16270363	1260	(10, 14, 9)	1100.0	1.0	5.697
14	-90.62301122	-0.3103598	-6.162712429999999	1260	(10, 14, 9)	1120.0	1.0	5.697
14	-90.6231085	-0.3103598	-6.1627193785714285	1260	(10, 14, 9)	1140.0	1.0	5.697
14	-90.62318284	-0.3103598	-6.162724688571428	1260	(10, 14, 9)	1160.0	1.0	5.697
14	-90.62323846	-0.3103598	-6.162728661428572	1260	(10, 14, 9)	1180.0	1.0	5.697
14	-90.62327697	-0.3103598	-6.162731412142857	1260	(10, 14, 9)	1200.0	1.0	5.697
