total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
14	-90.60333051	-0.3103598	-6.161306665	1260	(10, 14, 9)	600.0	0.998	5.685606
14	-90.60400517	-0.3103598	-6.161354854999999	1260	(10, 14, 9)	600.0	0.9982	5.6867454
14	-90.60462812	-0.3103598	-6.161399351428571	1260	(10, 14, 9)	600.0	0.9984	5.6878848
14	-90.6051934	-0.3103598	-6.1614397285714295	1260	(10, 14, 9)	600.0	0.9986	5.6890242
14	-90.6057086	-0.3103598	-6.161476528571429	1260	(10, 14, 9)	600.0	0.9988	5.6901636
14	-90.60617684	-0.3103598	-6.161509974285715	1260	(10, 14, 9)	600.0	0.999	5.691303
14	-90.60658925	-0.3103598	-6.161539432142858	1260	(10, 14, 9)	600.0	0.9992	5.6924424
14	-90.60695006	-0.3103598	-6.161565204285714	1260	(10, 14, 9)	600.0	0.9994	5.6935818
14	-90.60710905	-0.3103598	-6.161576560714287	1260	(10, 14, 9)	600.0	0.9995	5.6941515
14	-90.60725637	-0.3103598	-6.161587083571429	1260	(10, 14, 9)	600.0	0.9996	5.6947212
14	-90.60739295	-0.3103598	-6.161596839285715	1260	(10, 14, 9)	600.0	0.9997	5.6952909
14	-90.60751665	-0.3103598	-6.161605675	1260	(10, 14, 9)	600.0	0.9998	5.6958606
14	-90.6076288	-0.3103598	-6.161613685714286	1260	(10, 14, 9)	600.0	0.9999	5.6964303
14	-90.60772594	-0.3103598	-6.161620624285713	1260	(10, 14, 9)	600.0	1.0	5.697
14	-90.60780953	-0.3103598	-6.1616265949999995	1260	(10, 14, 9)	600.0	1.0001	5.6975697
14	-90.60788115	-0.3103598	-6.161631710714285	1260	(10, 14, 9)	600.0	1.0002	5.6981394
14	-90.60794164	-0.3103598	-6.161636031428571	1260	(10, 14, 9)	600.0	1.0003	5.6987091
14	-90.60799058	-0.3103598	-6.1616395271428575	1260	(10, 14, 9)	600.0	1.0004	5.6992788
14	-90.60802286	-0.3103598	-6.161641832857143	1260	(10, 14, 9)	600.0	1.0005	5.6998485
14	-90.60804018	-0.3103598	-6.161643070000001	1260	(10, 14, 9)	600.0	1.0006	5.7004182
14	-90.60804901	-0.3103598	-6.1616437007142855	1260	(10, 14, 9)	600.0	1.0007	5.7009879
14	-90.60804551	-0.3103598	-6.161643450714286	1260	(10, 14, 9)	600.0	1.0008	5.7015576
14	-90.6080286	-0.3103598	-6.161642242857143	1260	(10, 14, 9)	600.0	1.0009	5.7021273
14	-90.60799891	-0.3103598	-6.161640122142858	1260	(10, 14, 9)	600.0	1.001	5.702697
14	-90.60795938	-0.3103598	-6.161637298571429	1260	(10, 14, 9)	600.0	1.0011	5.7032667
14	-90.60790032	-0.3103598	-6.16163308	1260	(10, 14, 9)	600.0	1.0012	5.7038364
14	-90.60783424	-0.3103598	-6.161628360000001	1260	(10, 14, 9)	600.0	1.0013	5.7044061
14	-90.60775297	-0.3103598	-6.161622555	1260	(10, 14, 9)	600.0	1.0014	5.7049758
14	-90.60766081	-0.3103598	-6.161615972142856	1260	(10, 14, 9)	600.0	1.0015	5.7055455
14	-90.60755378	-0.3103598	-6.161608327142858	1260	(10, 14, 9)	600.0	1.0016	5.7061152
14	-90.6073047	-0.3103598	-6.161590535714287	1260	(10, 14, 9)	600.0	1.0018	5.7072546
14	-90.60700669	-0.3103598	-6.161569249285715	1260	(10, 14, 9)	600.0	1.002	5.708394
14	-90.60665409	-0.3103598	-6.161544063571428	1260	(10, 14, 9)	600.0	1.0022	5.7095334
14	-90.60624878	-0.3103598	-6.161515112857144	1260	(10, 14, 9)	600.0	1.0024	5.7106728
14	-90.6058008	-0.3103598	-6.161483114285714	1260	(10, 14, 9)	600.0	1.0026	5.7118122
14	-90.60530062	-0.3103598	-6.161447387142857	1260	(10, 14, 9)	600.0	1.0028	5.7129516
14	-90.60475231	-0.3103598	-6.161408222142858	1260	(10, 14, 9)	600.0	1.003	5.714091
