total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
14	-90.6057086	1.90506421	1260	175	(10, 14, 9)	5.6901636	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	90.57	0.9988	5.6901636	4.04304252	6.196754960000001
14	-90.6051934	1.90856702	1260	175	(10, 14, 9)	5.6890242	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	92.67	0.9986	5.6890242	4.042232940000001	6.19551412
14	-90.60400517	1.91558011	1260	175	(10, 14, 9)	5.6867454	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	93.068	0.9982	5.6867453999999995	4.04061378	6.19303244
14	-90.60658925	1.89806447	1260	175	(10, 14, 9)	5.6924424	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	93.26	0.9992	5.6924424	4.04466168	6.19923664
14	-90.60766081	1.85798952	1260	175	(10, 14, 9)	5.7055455	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	94.618	1.0015	5.7055455	4.053971850000001	6.213506300000001
14	-90.60700669	1.84931601	1260	175	(10, 14, 9)	5.708394	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	94.957	1.002	5.708394	4.055995800000001	6.2166084
14	-90.60804018	1.87363454	1260	175	(10, 14, 9)	5.7004182	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	95.056	1.0006	5.7004182	4.05032874	6.2079225199999994
14	-90.60624878	1.84238659	1260	175	(10, 14, 9)	5.7106728	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	95.969	1.0024	5.7106728	4.05761496	6.21909008
14	-90.60333051	1.91908977	1260	175	(10, 14, 9)	5.685606	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	105.812	0.998	5.685606	4.0398042	6.1917916
14	-90.60788115	1.88060499	1260	175	(10, 14, 9)	5.6981394	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.087	1.0002	5.6981394	4.048709580000001	6.20544084
14	-90.60751665	1.88758271	1260	175	(10, 14, 9)	5.6958606	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.23	0.9998	5.6958606000000005	4.04709042	6.202959160000001
14	-90.60462812	1.91207261	1260	175	(10, 14, 9)	5.6878848	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.233	0.9984	5.6878848	4.0414233600000005	6.19427328
14	-90.60710905	1.89282137	1260	175	(10, 14, 9)	5.6941515	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.263	0.9995	5.6941515	4.04587605	6.201097900000001
14	-90.60695006	1.89456838	1260	175	(10, 14, 9)	5.6935818	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.452	0.9994	5.6935818	4.04547126	6.20047748
14	-90.60725637	1.89107485	1260	175	(10, 14, 9)	5.6947212	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.461	0.9996	5.6947212	4.0462808400000005	6.20171832
14	-90.60772594	1.88409331	1260	175	(10, 14, 9)	5.697	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.849	1.0	5.697	4.0479	6.2042
14	-90.60790032	1.86319944	1260	175	(10, 14, 9)	5.7038364	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.143	1.0012	5.7038364	4.05275748	6.2116450400000005
14	-90.60799058	1.87711873	1260	175	(10, 14, 9)	5.6992788	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.371	1.0004	5.6992788	4.04951916	6.20668168
14	-90.6073047	1.85278411	1260	175	(10, 14, 9)	5.7072546	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.636	1.0018	5.707254600000001	4.05518622	6.215367560000001
14	-90.60804901	1.87189327	1260	175	(10, 14, 9)	5.7009879	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.792	1.0007	5.700987899999999	4.05073353	6.20854294
14	-90.6076288	1.88583763	1260	175	(10, 14, 9)	5.6964303	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.801	0.9999	5.6964303	4.04749521	6.20357958
14	-90.60530062	1.83546778	1260	175	(10, 14, 9)	5.7129516	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.994	1.0028	5.712951599999999	4.05923412	6.22157176
14	-90.60739295	1.8893279	1260	175	(10, 14, 9)	5.6952909	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	109.076	0.9997	5.6952909	4.046685630000001	6.20233874
14	-90.60617684	1.90156319	1260	175	(10, 14, 9)	5.691303	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	109.281	0.999	5.6913030000000004	4.0438521000000005	6.1979958
14	-90.60475231	1.83201065	1260	175	(10, 14, 9)	5.714091	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	109.328	1.003	5.714091	4.0600437	6.222812599999999
14	-90.60783424	1.86146239	1260	175	(10, 14, 9)	5.7044061	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	109.34	1.0013	5.704406100000001	4.0531622700000005	6.21226546
14	-90.6058008	1.83892604	1260	175	(10, 14, 9)	5.7118122	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	109.455	1.0026	5.7118122	4.05842454	6.220330919999999
14	-90.60775297	1.85972603	1260	175	(10, 14, 9)	5.7049758	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	109.652	1.0014	5.704975800000001	4.053567060000001	6.212885880000001
14	-90.60755378	1.85625402	1260	175	(10, 14, 9)	5.7061152	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	109.866	1.0016	5.7061152	4.05437664	6.21412672
