total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
14	-90.57564878	-0.05813193	-89.76180176	1260	(10, 14, 9)	360.0	1.0	5.697
14	-90.58596424	-0.05820456	-89.7711004	1260	(10, 14, 9)	380.0	1.0	5.697
14	-90.58813096	-0.05825858	-89.77251084	1260	(10, 14, 9)	400.0	1.0	5.697
14	-90.58741278	-0.05827514	-89.77156081999999	1260	(10, 14, 9)	420.0	1.0	5.697
14	-90.58679508	-0.05827184	-89.77098932	1260	(10, 14, 9)	440.0	1.0	5.697
14	-90.58754504	-0.0582848	-89.77155784	1260	(10, 14, 9)	460.0	1.0	5.697
14	-90.58907388	-0.05827492	-89.773225	1260	(10, 14, 9)	480.0	1.0	5.697
14	-90.59161162	-0.05827765	-89.77572452	1260	(10, 14, 9)	500.0	1.0	5.697
14	-90.59465781	-0.05827939	-89.77874635	1260	(10, 14, 9)	520.0	1.0	5.697
14	-90.59780018	-0.05826457	-89.7820962	1260	(10, 14, 9)	540.0	1.0	5.697
14	-90.60112638	-0.05825604	-89.78554181999999	1260	(10, 14, 9)	560.0	1.0	5.697
14	-90.60460383	-0.05825652	-89.78901255	1260	(10, 14, 9)	580.0	1.0	5.697
14	-90.60772594	-0.05825252	-89.79219065999999	1260	(10, 14, 9)	600.0	1.0	5.697
14	-90.61053837	-0.05825454	-89.79497481	1260	(10, 14, 9)	620.0	1.0	5.697
14	-90.61303712	-0.05825427	-89.79747734	1260	(10, 14, 9)	640.0	1.0	5.697
14	-90.61513936	-0.05825501	-89.79956922	1260	(10, 14, 9)	660.0	1.0	5.697
14	-90.61683732	-0.05825699	-89.80123946	1260	(10, 14, 9)	680.0	1.0	5.697
14	-90.61813485	-0.05825861	-89.80251431	1260	(10, 14, 9)	700.0	1.0	5.697
14	-90.61901351	-0.05825797	-89.80340193	1260	(10, 14, 9)	720.0	1.0	5.697
14	-90.61957665	-0.05825678	-89.80398173	1260	(10, 14, 9)	740.0	1.0	5.697
14	-90.6199545	-0.05825889	-89.80433004000001	1260	(10, 14, 9)	760.0	1.0	5.697
14	-90.62017962	-0.05826168	-89.8045161	1260	(10, 14, 9)	780.0	1.0	5.697
14	-90.62028494	-0.05826198	-89.80461722000001	1260	(10, 14, 9)	800.0	1.0	5.697
