total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)
14	-90.60710905	-0.05825251	-89.79157391000001	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.05825252	-89.79157377	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.05825261	-89.79157251000001	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.05825258	-89.79157293	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.05825258	-89.79157293	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.0582526	-89.79157265	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.05825248	-89.79157433	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.05825258	-89.79157293	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.0582526	-89.79157265	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.05825308	-89.79156593	1260	(10, 14, 9)	600.0
14	-90.60710905	-0.05825314	-89.79156509	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.05825251	-89.79105411	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.05825252	-89.79105397	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.05825261	-89.79105271	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.05825258	-89.79105313	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.05825258	-89.79105313	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.0582526	-89.79105285	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.05825248	-89.79105453	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.05825258	-89.79105313	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.0582526	-89.79105285	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.05825308	-89.79104613	1260	(10, 14, 9)	600.0
14	-90.60658925	-0.05825314	-89.79104529	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.05825251	-89.79221783000001	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.05825252	-89.79221769	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.05825261	-89.79221643000001	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.05825258	-89.79221685	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.05825258	-89.79221685	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.0582526	-89.79221657000001	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.05825248	-89.79221825	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.05825258	-89.79221685	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.0582526	-89.79221657000001	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.05825308	-89.79220985	1260	(10, 14, 9)	600.0
14	-90.60775297	-0.05825314	-89.79220901000001	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.05825251	-89.79198151	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.05825252	-89.79198136999999	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.05825261	-89.79198011	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.05825258	-89.79198052999999	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.05825258	-89.79198052999999	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.0582526	-89.79198025	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.05825248	-89.79198192999999	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.05825258	-89.79198052999999	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.0582526	-89.79198025	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.05825308	-89.79197352999999	1260	(10, 14, 9)	600.0
14	-90.60751665	-0.05825314	-89.79197269	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.05825251	-89.78921717	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.05825252	-89.78921702999999	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.05825261	-89.78921577	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.05825258	-89.78921618999999	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.05825258	-89.78921618999999	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.0582526	-89.78921591	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.05825248	-89.78921758999999	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.05825258	-89.78921618999999	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.0582526	-89.78921591	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.05825308	-89.78920919	1260	(10, 14, 9)	600.0
14	-90.60475231	-0.05825314	-89.78920835	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.05825251	-89.79141492000001	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.05825252	-89.79141478	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.05825261	-89.79141352	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.05825258	-89.79141394	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.05825258	-89.79141394	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.0582526	-89.79141366	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.05825248	-89.79141534	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.05825258	-89.79141394	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.0582526	-89.79141366	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.05825308	-89.79140694	1260	(10, 14, 9)	600.0
14	-90.60695006	-0.05825314	-89.7914061	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825251	-89.79111895000001	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825252	-89.79111881	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825261	-89.79111755000001	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825258	-89.79111797	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825258	-89.79111797	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.0582526	-89.79111769000001	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825248	-89.79111937	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825258	-89.79111797	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.0582526	-89.79111769000001	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825308	-89.79111097	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825314	-89.79111013	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825251	-89.7921908	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825252	-89.79219065999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825261	-89.7921894	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825258	-89.79218981999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825258	-89.79218981999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.0582526	-89.79218954	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825248	-89.79219121999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825258	-89.79218981999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.0582526	-89.79218954	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825308	-89.79218282	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825314	-89.79218198	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825251	-89.79185781000001	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825252	-89.79185767	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825261	-89.79185641000001	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825258	-89.79185683	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825258	-89.79185683	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.0582526	-89.79185655	1260	(10, 14, 9)	600.0
