total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
14	-88.32348581	-0.3103598	-83.97844860999999	1260	(10, 14, 9)	200.0	1.0	5.697
14	-89.26034298	-0.3103598	-84.91530578000001	1260	(10, 14, 9)	220.0	1.0	5.697
14	-89.78544659	-0.3103598	-85.44040939000001	1260	(10, 14, 9)	240.0	1.0	5.697
14	-90.08052321	-0.3103598	-85.73548600999999	1260	(10, 14, 9)	260.0	1.0	5.697
14	-90.26445927	-0.3103598	-85.91942207	1260	(10, 14, 9)	280.0	1.0	5.697
14	-90.40982958	-0.3103598	-86.06479238	1260	(10, 14, 9)	300.0	1.0	5.697
14	-90.49713659	-0.3103598	-86.15209938999999	1260	(10, 14, 9)	320.0	1.0	5.697
14	-90.54877937	-0.3103598	-86.20374217	1260	(10, 14, 9)	340.0	1.0	5.697
14	-90.57564878	-0.3103598	-86.23061157999999	1260	(10, 14, 9)	360.0	1.0	5.697
14	-90.58596424	-0.3103598	-86.24092704	1260	(10, 14, 9)	380.0	1.0	5.697
14	-90.58813096	-0.3103598	-86.24309376	1260	(10, 14, 9)	400.0	1.0	5.697
14	-90.58741278	-0.3103598	-86.24237557999999	1260	(10, 14, 9)	420.0	1.0	5.697
14	-90.58679508	-0.3103598	-86.24175788	1260	(10, 14, 9)	440.0	1.0	5.697
14	-90.58754504	-0.3103598	-86.24250784	1260	(10, 14, 9)	460.0	1.0	5.697
14	-90.58907388	-0.3103598	-86.24403668	1260	(10, 14, 9)	480.0	1.0	5.697
14	-90.59161162	-0.3103598	-86.24657442	1260	(10, 14, 9)	500.0	1.0	5.697
14	-90.59465781	-0.3103598	-86.24962061	1260	(10, 14, 9)	520.0	1.0	5.697
14	-90.59780018	-0.3103598	-86.25276298	1260	(10, 14, 9)	540.0	1.0	5.697
14	-90.60112638	-0.3103598	-86.25608918	1260	(10, 14, 9)	560.0	1.0	5.697
14	-90.60460383	-0.3103598	-86.25956663	1260	(10, 14, 9)	580.0	1.0	5.697
14	-90.60772594	-0.3103598	-86.26268873999999	1260	(10, 14, 9)	600.0	1.0	5.697
14	-90.61053837	-0.3103598	-86.26550117	1260	(10, 14, 9)	620.0	1.0	5.697
14	-90.61303712	-0.3103598	-86.26799992	1260	(10, 14, 9)	640.0	1.0	5.697
14	-90.61513936	-0.3103598	-86.27010216	1260	(10, 14, 9)	660.0	1.0	5.697
14	-90.61683732	-0.3103598	-86.27180012	1260	(10, 14, 9)	680.0	1.0	5.697
14	-90.61813485	-0.3103598	-86.27309765000001	1260	(10, 14, 9)	700.0	1.0	5.697
14	-90.61901351	-0.3103598	-86.27397631	1260	(10, 14, 9)	720.0	1.0	5.697
14	-90.61957665	-0.3103598	-86.27453944999999	1260	(10, 14, 9)	740.0	1.0	5.697
14	-90.6199545	-0.3103598	-86.2749173	1260	(10, 14, 9)	760.0	1.0	5.697
14	-90.62017962	-0.3103598	-86.27514242000001	1260	(10, 14, 9)	780.0	1.0	5.697
14	-90.62028494	-0.3103598	-86.27524774	1260	(10, 14, 9)	800.0	1.0	5.697
14	-90.6203502	-0.3103598	-86.27531300000001	1260	(10, 14, 9)	820.0	1.0	5.697
14	-90.62042754	-0.3103598	-86.27539034	1260	(10, 14, 9)	840.0	1.0	5.697
14	-90.62051808	-0.3103598	-86.27548088	1260	(10, 14, 9)	860.0	1.0	5.697
14	-90.62062159	-0.3103598	-86.27558439	1260	(10, 14, 9)	880.0	1.0	5.697
14	-90.62076021	-0.3103598	-86.27572301000001	1260	(10, 14, 9)	900.0	1.0	5.697
14	-90.62094846	-0.3103598	-86.27591125999999	1260	(10, 14, 9)	920.0	1.0	5.697
14	-90.62116846	-0.3103598	-86.27613126	1260	(10, 14, 9)	940.0	1.0	5.697
14	-90.62139657	-0.3103598	-86.27635937	1260	(10, 14, 9)	960.0	1.0	5.697
14	-90.62162762	-0.3103598	-86.27659041999999	1260	(10, 14, 9)	980.0	1.0	5.697
14	-90.62186602	-0.3103598	-86.27682881999999	1260	(10, 14, 9)	1000.0	1.0	5.697
14	-90.62210639	-0.3103598	-86.27706918999999	1260	(10, 14, 9)	1020.0	1.0	5.697
14	-90.62233808	-0.3103598	-86.27730088000001	1260	(10, 14, 9)	1040.0	1.0	5.697
14	-90.62254916	-0.3103598	-86.27751196	1260	(10, 14, 9)	1060.0	1.0	5.697
14	-90.62273366	-0.3103598	-86.27769645999999	1260	(10, 14, 9)	1080.0	1.0	5.697
14	-90.62288802	-0.3103598	-86.27785082	1260	(10, 14, 9)	1100.0	1.0	5.697
14	-90.62301122	-0.3103598	-86.27797401999999	1260	(10, 14, 9)	1120.0	1.0	5.697
14	-90.6231085	-0.3103598	-86.2780713	1260	(10, 14, 9)	1140.0	1.0	5.697
14	-90.62318284	-0.3103598	-86.27814563999999	1260	(10, 14, 9)	1160.0	1.0	5.697
14	-90.62323846	-0.3103598	-86.27820126	1260	(10, 14, 9)	1180.0	1.0	5.697
14	-90.62327697	-0.3103598	-86.27823977	1260	(10, 14, 9)	1200.0	1.0	5.697
