total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling
14	-89.26034298	1.94755266	1260	175	(10, 14, 9)	5.697	1e-05	220.0	None	None	0.5	None	None	1e-06	-0.001	43.134	1.0
14	-88.32348581	1.97052709	1260	175	(10, 14, 9)	5.697	1e-05	200.0	None	None	0.5	None	None	1e-06	-0.001	43.548	1.0
14	-89.78544659	1.92602313	1260	175	(10, 14, 9)	5.697	1e-05	240.0	None	None	0.5	None	None	1e-06	-0.001	43.954	1.0
14	-90.26445927	1.89878614	1260	175	(10, 14, 9)	5.697	1e-05	280.0	None	None	0.5	None	None	1e-06	-0.001	48.876	1.0
14	-90.40982958	1.8905329	1260	175	(10, 14, 9)	5.697	1e-05	300.0	None	None	0.5	None	None	1e-06	-0.001	50.107	1.0
14	-90.08052321	1.91091145	1260	175	(10, 14, 9)	5.697	1e-05	260.0	None	None	0.5	None	None	1e-06	-0.001	52.635	1.0
14	-90.49713659	1.88757531	1260	175	(10, 14, 9)	5.697	1e-05	320.0	None	None	0.5	None	None	1e-06	-0.001	54.764	1.0
14	-90.54877937	1.88617203	1260	175	(10, 14, 9)	5.697	1e-05	340.0	None	None	0.5	None	None	1e-06	-0.001	63.113	1.0
14	-90.58596424	1.88518342	1260	175	(10, 14, 9)	5.697	1e-05	380.0	None	None	0.5	None	None	1e-06	-0.001	73.514	1.0
14	-90.58741278	1.88513733	1260	175	(10, 14, 9)	5.697	1e-05	420.0	None	None	0.5	None	None	1e-06	-0.001	74.794	1.0
14	-90.57564878	1.88546599	1260	175	(10, 14, 9)	5.697	1e-05	360.0	None	None	0.5	None	None	1e-06	-0.001	80.898	1.0
14	-90.58679508	1.88513007	1260	175	(10, 14, 9)	5.697	1e-05	440.0	None	None	0.5	None	None	1e-06	-0.001	81.909	1.0
14	-90.58813096	1.88512548	1260	175	(10, 14, 9)	5.697	1e-05	400.0	None	None	0.5	None	None	1e-06	-0.001	84.244	1.0
14	-90.59465781	1.88472837	1260	175	(10, 14, 9)	5.697	1e-05	520.0	None	None	0.5	None	None	1e-06	-0.001	92.399	1.0
14	-90.58907388	1.88498783	1260	175	(10, 14, 9)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	95.333	1.0
14	-90.59161162	1.8848733	1260	175	(10, 14, 9)	5.697	1e-05	500.0	None	None	0.5	None	None	1e-06	-0.001	97.373	1.0
14	-90.59780018	1.88456756	1260	175	(10, 14, 9)	5.697	1e-05	540.0	None	None	0.5	None	None	1e-06	-0.001	98.512	1.0
14	-90.60112638	1.88440551	1260	175	(10, 14, 9)	5.697	1e-05	560.0	None	None	0.5	None	None	1e-06	-0.001	100.266	1.0
14	-90.61053837	1.88396078	1260	175	(10, 14, 9)	5.697	1e-05	620.0	None	None	0.5	None	None	1e-06	-0.001	104.529	1.0
14	-90.60460383	1.88424897	1260	175	(10, 14, 9)	5.697	1e-05	580.0	None	None	0.5	None	None	1e-06	-0.001	107.464	1.0
14	-90.60772594	1.88409331	1260	175	(10, 14, 9)	5.697	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.757	1.0
14	-90.61901351	1.88361825	1260	175	(10, 14, 9)	5.697	1e-05	720.0	None	None	0.5	None	None	1e-06	-0.001	116.975	1.0
14	-90.58754504	1.88507724	1260	175	(10, 14, 9)	5.697	1e-05	460.0	None	None	0.5	None	None	1e-06	-0.001	117.055	1.0
14	-90.61303712	1.88385076	1260	175	(10, 14, 9)	5.697	1e-05	640.0	None	None	0.5	None	None	1e-06	-0.001	120.701	1.0
14	-90.61513936	1.88376248	1260	175	(10, 14, 9)	5.697	1e-05	660.0	None	None	0.5	None	None	1e-06	-0.001	125.992	1.0
14	-90.61683732	1.88369888	1260	175	(10, 14, 9)	5.697	1e-05	680.0	None	None	0.5	None	None	1e-06	-0.001	128.177	1.0
14	-90.61813485	1.88365178	1260	175	(10, 14, 9)	5.697	1e-05	700.0	None	None	0.5	None	None	1e-06	-0.001	144.525	1.0
14	-90.61957665	1.88359857	1260	175	(10, 14, 9)	5.697	1e-05	740.0	None	None	0.5	None	None	1e-06	-0.001	154.126	1.0
14	-90.6199545	1.88358559	1260	175	(10, 14, 9)	5.697	1e-05	760.0	None	None	0.5	None	None	1e-06	-0.001	155.386	1.0
14	-90.62017962	1.88357929	1260	175	(10, 14, 9)	5.697	1e-05	780.0	None	None	0.5	None	None	1e-06	-0.001	160.028	1.0
14	-90.62028494	1.8835761	1260	175	(10, 14, 9)	5.697	1e-05	800.0	None	None	0.5	None	None	1e-06	-0.001	163.421	1.0
14	-90.62051808	1.88356892	1260	175	(10, 14, 9)	5.697	1e-05	860.0	None	None	0.5	None	None	1e-06	-0.001	166.15	1.0
14	-90.62042754	1.88357163	1260	175	(10, 14, 9)	5.697	1e-05	840.0	None	None	0.5	None	None	1e-06	-0.001	184.009	1.0
14	-90.6203502	1.88357386	1260	175	(10, 14, 9)	5.697	1e-05	820.0	None	None	0.5	None	None	1e-06	-0.001	187.489	1.0
14	-90.62062159	1.88356495	1260	175	(10, 14, 9)	5.697	1e-05	880.0	None	None	0.5	None	None	1e-06	-0.001	190.692	1.0
