total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
14	-85.57729957	-0.3103598	-81.23226237	1	(1, 1, 1)	480.0	1.0	5.697
14	-90.26964865	-0.3103598	-85.92461144999999	12	(2, 3, 2)	480.0	1.0	5.697
14	-90.26082398	-0.3103598	-85.91578677999999	36	(3, 4, 3)	480.0	1.0	5.697
14	-90.58361739	-0.3103598	-86.23858019	96	(4, 6, 4)	480.0	1.0	5.697
14	-90.61684761	-0.3103598	-86.27181041	175	(5, 7, 5)	480.0	1.0	5.697
14	-90.5970087	-0.3103598	-86.2519715	288	(6, 8, 6)	480.0	1.0	5.697
14	-90.56749412	-0.3103598	-86.22245692000001	420	(7, 10, 6)	480.0	1.0	5.697
14	-90.56827793	-0.3103598	-86.22324072999999	616	(8, 11, 7)	480.0	1.0	5.697
14	-90.58056471	-0.3103598	-86.23552751	936	(9, 13, 8)	480.0	1.0	5.697
14	-90.58907388	-0.3103598	-86.24403668	1260	(10, 14, 9)	480.0	1.0	5.697
14	-90.58478728	-0.3103598	-86.23975008	1650	(11, 15, 10)	480.0	1.0	5.697
14	-90.58032449	-0.3103598	-86.23528729	2244	(12, 17, 11)	480.0	1.0	5.697
14	-90.57979153	-0.3103598	-86.23475432999999	2808	(13, 18, 12)	480.0	1.0	5.697
14	-90.58254746	-0.3103598	-86.23751026	3640	(14, 20, 13)	480.0	1.0	5.697
14	-90.58515188	-0.3103598	-86.24011468	4410	(15, 21, 14)	480.0	1.0	5.697
14	-90.58408156	-0.3103598	-86.23904436000001	5520	(16, 23, 15)	480.0	1.0	5.697
14	-90.58206977	-0.3103598	-86.23703257	6528	(17, 24, 16)	480.0	1.0	5.697
14	-90.58176926	-0.3103598	-86.23673206000001	7650	(18, 25, 17)	480.0	1.0	5.697
14	-90.58279797	-0.3103598	-86.23776077	8721	(19, 27, 17)	480.0	1.0	5.697
14	-90.5837586	-0.3103598	-86.2387214	10080	(20, 28, 18)	480.0	1.0	5.697
14	-90.58352207	-0.3103598	-86.23848487000001	11970	(21, 30, 19)	480.0	1.0	5.697
14	-90.58275915	-0.3103598	-86.23772195000001	13640	(22, 31, 20)	480.0	1.0	5.697
14	-90.58268216	-0.3103598	-86.23764496000001	15456	(23, 32, 21)	480.0	1.0	5.697
14	-90.58288763	-0.3103598	-86.23785043000001	17952	(24, 34, 22)	480.0	1.0	5.697
