total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
14	-90.60333051	-0.3103598	-86.25829331	1260	(10, 14, 9)	600.0	0.998	5.685606
14	-90.60400517	-0.3103598	-86.25896796999999	1260	(10, 14, 9)	600.0	0.9982	5.6867454
14	-90.60462812	-0.3103598	-86.25959092	1260	(10, 14, 9)	600.0	0.9984	5.6878848
14	-90.6051934	-0.3103598	-86.26015620000001	1260	(10, 14, 9)	600.0	0.9986	5.6890242
14	-90.6057086	-0.3103598	-86.2606714	1260	(10, 14, 9)	600.0	0.9988	5.6901636
14	-90.60617684	-0.3103598	-86.26113964000001	1260	(10, 14, 9)	600.0	0.999	5.691303
14	-90.60658925	-0.3103598	-86.26155205	1260	(10, 14, 9)	600.0	0.9992	5.6924424
14	-90.60695006	-0.3103598	-86.26191286	1260	(10, 14, 9)	600.0	0.9994	5.6935818
14	-90.60710905	-0.3103598	-86.26207185000001	1260	(10, 14, 9)	600.0	0.9995	5.6941515
14	-90.60725637	-0.3103598	-86.26221917000001	1260	(10, 14, 9)	600.0	0.9996	5.6947212
14	-90.60739295	-0.3103598	-86.26235575000001	1260	(10, 14, 9)	600.0	0.9997	5.6952909
14	-90.60751665	-0.3103598	-86.26247945	1260	(10, 14, 9)	600.0	0.9998	5.6958606
14	-90.6076288	-0.3103598	-86.26259160000001	1260	(10, 14, 9)	600.0	0.9999	5.6964303
14	-90.60772594	-0.3103598	-86.26268873999999	1260	(10, 14, 9)	600.0	1.0	5.697
14	-90.60780953	-0.3103598	-86.26277232999999	1260	(10, 14, 9)	600.0	1.0001	5.6975697
14	-90.60788115	-0.3103598	-86.26284394999999	1260	(10, 14, 9)	600.0	1.0002	5.6981394
14	-90.60794164	-0.3103598	-86.26290444	1260	(10, 14, 9)	600.0	1.0003	5.6987091
14	-90.60799058	-0.3103598	-86.26295338	1260	(10, 14, 9)	600.0	1.0004	5.6992788
14	-90.60802286	-0.3103598	-86.26298566	1260	(10, 14, 9)	600.0	1.0005	5.6998485
14	-90.60804018	-0.3103598	-86.26300298000001	1260	(10, 14, 9)	600.0	1.0006	5.7004182
14	-90.60804901	-0.3103598	-86.26301181	1260	(10, 14, 9)	600.0	1.0007	5.7009879
14	-90.60804551	-0.3103598	-86.26300831	1260	(10, 14, 9)	600.0	1.0008	5.7015576
14	-90.6080286	-0.3103598	-86.2629914	1260	(10, 14, 9)	600.0	1.0009	5.7021273
14	-90.60799891	-0.3103598	-86.26296171000001	1260	(10, 14, 9)	600.0	1.001	5.702697
14	-90.60795938	-0.3103598	-86.26292218	1260	(10, 14, 9)	600.0	1.0011	5.7032667
14	-90.60790032	-0.3103598	-86.26286311999999	1260	(10, 14, 9)	600.0	1.0012	5.7038364
14	-90.60783424	-0.3103598	-86.26279704000001	1260	(10, 14, 9)	600.0	1.0013	5.7044061
14	-90.60775297	-0.3103598	-86.26271577	1260	(10, 14, 9)	600.0	1.0014	5.7049758
14	-90.60766081	-0.3103598	-86.26262360999999	1260	(10, 14, 9)	600.0	1.0015	5.7055455
14	-90.60755378	-0.3103598	-86.26251658000001	1260	(10, 14, 9)	600.0	1.0016	5.7061152
14	-90.6073047	-0.3103598	-86.26226750000001	1260	(10, 14, 9)	600.0	1.0018	5.7072546
14	-90.60700669	-0.3103598	-86.26196949000001	1260	(10, 14, 9)	600.0	1.002	5.708394
14	-90.60665409	-0.3103598	-86.26161689	1260	(10, 14, 9)	600.0	1.0022	5.7095334
14	-90.60624878	-0.3103598	-86.26121158000001	1260	(10, 14, 9)	600.0	1.0024	5.7106728
14	-90.6058008	-0.3103598	-86.26076359999999	1260	(10, 14, 9)	600.0	1.0026	5.7118122
14	-90.60530062	-0.3103598	-86.26026342	1260	(10, 14, 9)	600.0	1.0028	5.7129516
14	-90.60475231	-0.3103598	-86.25971511	1260	(10, 14, 9)	600.0	1.003	5.714091
