total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
14	-85.57729957	-0.05823743	-84.76197554999999	1	(1, 1, 1)	480.0	1.0	5.697
14	-90.26964865	-0.05827214	-89.45383869	12	(2, 3, 2)	480.0	1.0	5.697
14	-90.26082398	-0.05827211	-89.44501444	36	(3, 4, 3)	480.0	1.0	5.697
14	-90.58361739	-0.05827207	-89.76780841	96	(4, 6, 4)	480.0	1.0	5.697
14	-90.61684761	-0.05827205	-89.80103890999999	175	(5, 7, 5)	480.0	1.0	5.697
14	-90.5970087	-0.05827214	-89.78119874000001	288	(6, 8, 6)	480.0	1.0	5.697
14	-90.56749412	-0.0582721	-89.75168472	420	(7, 10, 6)	480.0	1.0	5.697
14	-90.56827793	-0.05827208	-89.75246881	616	(8, 11, 7)	480.0	1.0	5.697
14	-90.58056471	-0.05827208	-89.76475559000001	936	(9, 13, 8)	480.0	1.0	5.697
14	-90.58907388	-0.05827209	-89.77326462	1260	(10, 14, 9)	480.0	1.0	5.697
14	-90.58478728	-0.05827208	-89.76897816	1650	(11, 15, 10)	480.0	1.0	5.697
14	-90.58032449	-0.05827207	-89.76451551	2244	(12, 17, 11)	480.0	1.0	5.697
14	-90.57979153	-0.05827209	-89.76398227	2808	(13, 18, 12)	480.0	1.0	5.697
