Total Energy	Total Kpoints	Calculated Kpoints	Kpoints(X Y Z)	Lattice Constant	SYMPREC	ENCUT	KSPACING	VOLUME	POTIM	AMIX	BMIX	EDIFF	EDIFFG
-90.59465781	1260	33	(10, 14, 9)	5.697	1e-05	520.0	None	None	0.5	None	None	1e-06	-0.001
-90.62301122	1260	33	(10, 14, 9)	5.697	1e-05	1120.0	None	None	0.5	None	None	1e-06	-0.001
-90.62233808	1260	33	(10, 14, 9)	5.697	1e-05	1040.0	None	None	0.5	None	None	1e-06	-0.001
-90.62162762	1260	33	(10, 14, 9)	5.697	1e-05	980.0	None	None	0.5	None	None	1e-06	-0.001
-90.61303712	1260	33	(10, 14, 9)	5.697	1e-05	640.0	None	None	0.5	None	None	1e-06	-0.001
-90.61683732	1260	33	(10, 14, 9)	5.697	1e-05	680.0	None	None	0.5	None	None	1e-06	-0.001
-90.6231085	1260	33	(10, 14, 9)	5.697	1e-05	1140.0	None	None	0.5	None	None	1e-06	-0.001
-90.62042754	1260	33	(10, 14, 9)	5.697	1e-05	840.0	None	None	0.5	None	None	1e-06	-0.001
-90.62116846	1260	33	(10, 14, 9)	5.697	1e-05	940.0	None	None	0.5	None	None	1e-06	-0.001
-90.08052321	1260	33	(10, 14, 9)	5.697	1e-05	260.0	None	None	0.5	None	None	1e-06	-0.001
-90.26445927	1260	33	(10, 14, 9)	5.697	1e-05	280.0	None	None	0.5	None	None	1e-06	-0.001
-90.62254916	1260	33	(10, 14, 9)	5.697	1e-05	1060.0	None	None	0.5	None	None	1e-06	-0.001
-90.62288802	1260	33	(10, 14, 9)	5.697	1e-05	1100.0	None	None	0.5	None	None	1e-06	-0.001
-90.62028494	1260	33	(10, 14, 9)	5.697	1e-05	800.0	None	None	0.5	None	None	1e-06	-0.001
-90.62318284	1260	33	(10, 14, 9)	5.697	1e-05	1160.0	None	None	0.5	None	None	1e-06	-0.001
-90.59780018	1260	33	(10, 14, 9)	5.697	1e-05	540.0	None	None	0.5	None	None	1e-06	-0.001
-89.26034298	1260	33	(10, 14, 9)	5.697	1e-05	220.0	None	None	0.5	None	None	1e-06	-0.001
-90.62076021	1260	33	(10, 14, 9)	5.697	1e-05	900.0	None	None	0.5	None	None	1e-06	-0.001
-90.58679508	1260	33	(10, 14, 9)	5.697	1e-05	440.0	None	None	0.5	None	None	1e-06	-0.001
-90.58754504	1260	33	(10, 14, 9)	5.697	1e-05	460.0	None	None	0.5	None	None	1e-06	-0.001
-90.61901351	1260	33	(10, 14, 9)	5.697	1e-05	720.0	None	None	0.5	None	None	1e-06	-0.001
-90.60112638	1260	33	(10, 14, 9)	5.697	1e-05	560.0	None	None	0.5	None	None	1e-06	-0.001
-90.58907388	1260	33	(10, 14, 9)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.61813485	1260	33	(10, 14, 9)	5.697	1e-05	700.0	None	None	0.5	None	None	1e-06	-0.001
-90.49713659	1260	33	(10, 14, 9)	5.697	1e-05	320.0	None	None	0.5	None	None	1e-06	-0.001
-88.32348581	1260	33	(10, 14, 9)	5.697	1e-05	200.0	None	None	0.5	None	None	1e-06	-0.001
-90.61053837	1260	33	(10, 14, 9)	5.697	1e-05	620.0	None	None	0.5	None	None	1e-06	-0.001
-90.62094846	1260	33	(10, 14, 9)	5.697	1e-05	920.0	None	None	0.5	None	None	1e-06	-0.001
-90.54877937	1260	33	(10, 14, 9)	5.697	1e-05	340.0	None	None	0.5	None	None	1e-06	-0.001
-90.62186602	1260	33	(10, 14, 9)	5.697	1e-05	1000.0	None	None	0.5	None	None	1e-06	-0.001
-90.61957665	1260	33	(10, 14, 9)	5.697	1e-05	740.0	None	None	0.5	None	None	1e-06	-0.001
-90.61513936	1260	33	(10, 14, 9)	5.697	1e-05	660.0	None	None	0.5	None	None	1e-06	-0.001
-90.62017962	1260	33	(10, 14, 9)	5.697	1e-05	780.0	None	None	0.5	None	None	1e-06	-0.001
-90.58596424	1260	33	(10, 14, 9)	5.697	1e-05	380.0	None	None	0.5	None	None	1e-06	-0.001
-90.59161162	1260	33	(10, 14, 9)	5.697	1e-05	500.0	None	None	0.5	None	None	1e-06	-0.001
-89.78544659	1260	33	(10, 14, 9)	5.697	1e-05	240.0	None	None	0.5	None	None	1e-06	-0.001
-90.6199545	1260	33	(10, 14, 9)	5.697	1e-05	760.0	None	None	0.5	None	None	1e-06	-0.001
-90.62323846	1260	33	(10, 14, 9)	5.697	1e-05	1180.0	None	None	0.5	None	None	1e-06	-0.001
-90.62210639	1260	33	(10, 14, 9)	5.697	1e-05	1020.0	None	None	0.5	None	None	1e-06	-0.001
-90.62327697	1260	33	(10, 14, 9)	5.697	1e-05	1200.0	None	None	0.5	None	None	1e-06	-0.001
-90.60772594	1260	33	(10, 14, 9)	5.697	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001
-90.62139657	1260	33	(10, 14, 9)	5.697	1e-05	960.0	None	None	0.5	None	None	1e-06	-0.001
-90.62273366	1260	33	(10, 14, 9)	5.697	1e-05	1080.0	None	None	0.5	None	None	1e-06	-0.001
-90.62051808	1260	33	(10, 14, 9)	5.697	1e-05	860.0	None	None	0.5	None	None	1e-06	-0.001
-90.60460383	1260	33	(10, 14, 9)	5.697	1e-05	580.0	None	None	0.5	None	None	1e-06	-0.001
-90.58813096	1260	33	(10, 14, 9)	5.697	1e-05	400.0	None	None	0.5	None	None	1e-06	-0.001
-90.57564878	1260	33	(10, 14, 9)	5.697	1e-05	360.0	None	None	0.5	None	None	1e-06	-0.001
-90.58741278	1260	33	(10, 14, 9)	5.697	1e-05	420.0	None	None	0.5	None	None	1e-06	-0.001
-90.62062159	1260	33	(10, 14, 9)	5.697	1e-05	880.0	None	None	0.5	None	None	1e-06	-0.001
-90.6203502	1260	33	(10, 14, 9)	5.697	1e-05	820.0	None	None	0.5	None	None	1e-06	-0.001
-90.40982958	1260	33	(10, 14, 9)	5.697	1e-05	300.0	None	None	0.5	None	None	1e-06	-0.001
