Total Energy	Total Kpoints	Calculated Kpoints	Kpoints(X Y Z)	Lattice Constant	SYMPREC	ENCUT	KSPACING	VOLUME	POTIM	AMIX	BMIX	EDIFF	EDIFFG	Elapsed Time (sec)
-90.5883835	8721	63	(19, 27, 17)	5.697	1e-05	520.0	None	None	0.5	None	None	1e-06	-0.001	671.638
-90.60676354	8721	63	(19, 27, 17)	5.697	1e-05	640.0	None	None	0.5	None	None	1e-06	-0.001	941.265
-90.61056418	8721	63	(19, 27, 17)	5.697	1e-05	680.0	None	None	0.5	None	None	1e-06	-0.001	961.312
-90.59152105	8721	63	(19, 27, 17)	5.697	1e-05	540.0	None	None	0.5	None	None	1e-06	-0.001	734.96
-90.58051843	8721	63	(19, 27, 17)	5.697	1e-05	440.0	None	None	0.5	None	None	1e-06	-0.001	559.244
-90.58126933	8721	63	(19, 27, 17)	5.697	1e-05	460.0	None	None	0.5	None	None	1e-06	-0.001	692.644
-90.59485373	8721	63	(19, 27, 17)	5.697	1e-05	560.0	None	None	0.5	None	None	1e-06	-0.001	754.915
-90.58279797	8721	63	(19, 27, 17)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	737.315
-90.60425793	8721	63	(19, 27, 17)	5.697	1e-05	620.0	None	None	0.5	None	None	1e-06	-0.001	884.803
-90.60886517	8721	63	(19, 27, 17)	5.697	1e-05	660.0	None	None	0.5	None	None	1e-06	-0.001	962.864
-90.58533363	8721	63	(19, 27, 17)	5.697	1e-05	500.0	None	None	0.5	None	None	1e-06	-0.001	731.696
-90.60144536	8721	63	(19, 27, 17)	5.697	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	812.944
-90.5983264	8721	63	(19, 27, 17)	5.697	1e-05	580.0	None	None	0.5	None	None	1e-06	-0.001	786.819
-90.5818553	8721	63	(19, 27, 17)	5.697	1e-05	400.0	None	None	0.5	None	None	1e-06	-0.001	511.346
-90.58113721	8721	63	(19, 27, 17)	5.697	1e-05	420.0	None	None	0.5	None	None	1e-06	-0.001	622.553
