total atom count	total energy	total kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)
14	-89.26034298	1260	(10, 14, 9)	5.697	1e-05	220.0	None	None	0.5	None	None	1e-06	-0.001	43.134
14	-88.32348581	1260	(10, 14, 9)	5.697	1e-05	200.0	None	None	0.5	None	None	1e-06	-0.001	43.548
14	-89.78544659	1260	(10, 14, 9)	5.697	1e-05	240.0	None	None	0.5	None	None	1e-06	-0.001	43.954
14	-90.26445927	1260	(10, 14, 9)	5.697	1e-05	280.0	None	None	0.5	None	None	1e-06	-0.001	48.876
14	-90.40982958	1260	(10, 14, 9)	5.697	1e-05	300.0	None	None	0.5	None	None	1e-06	-0.001	50.107
14	-90.08052321	1260	(10, 14, 9)	5.697	1e-05	260.0	None	None	0.5	None	None	1e-06	-0.001	52.635
14	-90.49713659	1260	(10, 14, 9)	5.697	1e-05	320.0	None	None	0.5	None	None	1e-06	-0.001	54.764
14	-90.54877937	1260	(10, 14, 9)	5.697	1e-05	340.0	None	None	0.5	None	None	1e-06	-0.001	63.113
14	-90.58596424	1260	(10, 14, 9)	5.697	1e-05	380.0	None	None	0.5	None	None	1e-06	-0.001	73.514
14	-90.58741278	1260	(10, 14, 9)	5.697	1e-05	420.0	None	None	0.5	None	None	1e-06	-0.001	74.794
14	-90.57564878	1260	(10, 14, 9)	5.697	1e-05	360.0	None	None	0.5	None	None	1e-06	-0.001	80.898
14	-90.58679508	1260	(10, 14, 9)	5.697	1e-05	440.0	None	None	0.5	None	None	1e-06	-0.001	81.909
14	-90.58813096	1260	(10, 14, 9)	5.697	1e-05	400.0	None	None	0.5	None	None	1e-06	-0.001	84.244
14	-90.59465781	1260	(10, 14, 9)	5.697	1e-05	520.0	None	None	0.5	None	None	1e-06	-0.001	92.399
14	-90.58907388	1260	(10, 14, 9)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	95.333
14	-90.59161162	1260	(10, 14, 9)	5.697	1e-05	500.0	None	None	0.5	None	None	1e-06	-0.001	97.373
14	-90.59780018	1260	(10, 14, 9)	5.697	1e-05	540.0	None	None	0.5	None	None	1e-06	-0.001	98.512
14	-90.60112638	1260	(10, 14, 9)	5.697	1e-05	560.0	None	None	0.5	None	None	1e-06	-0.001	100.266
14	-90.61053837	1260	(10, 14, 9)	5.697	1e-05	620.0	None	None	0.5	None	None	1e-06	-0.001	104.529
14	-90.60460383	1260	(10, 14, 9)	5.697	1e-05	580.0	None	None	0.5	None	None	1e-06	-0.001	107.464
14	-90.60772594	1260	(10, 14, 9)	5.697	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.757
14	-90.61901351	1260	(10, 14, 9)	5.697	1e-05	720.0	None	None	0.5	None	None	1e-06	-0.001	116.975
14	-90.58754504	1260	(10, 14, 9)	5.697	1e-05	460.0	None	None	0.5	None	None	1e-06	-0.001	117.055
14	-90.61303712	1260	(10, 14, 9)	5.697	1e-05	640.0	None	None	0.5	None	None	1e-06	-0.001	120.701
14	-90.61513936	1260	(10, 14, 9)	5.697	1e-05	660.0	None	None	0.5	None	None	1e-06	-0.001	125.992
14	-90.61683732	1260	(10, 14, 9)	5.697	1e-05	680.0	None	None	0.5	None	None	1e-06	-0.001	128.177
14	-90.61813485	1260	(10, 14, 9)	5.697	1e-05	700.0	None	None	0.5	None	None	1e-06	-0.001	144.525
14	-90.61957665	1260	(10, 14, 9)	5.697	1e-05	740.0	None	None	0.5	None	None	1e-06	-0.001	154.126
14	-90.6199545	1260	(10, 14, 9)	5.697	1e-05	760.0	None	None	0.5	None	None	1e-06	-0.001	155.386
14	-90.62017962	1260	(10, 14, 9)	5.697	1e-05	780.0	None	None	0.5	None	None	1e-06	-0.001	160.028
14	-90.62028494	1260	(10, 14, 9)	5.697	1e-05	800.0	None	None	0.5	None	None	1e-06	-0.001	163.421
14	-90.62051808	1260	(10, 14, 9)	5.697	1e-05	860.0	None	None	0.5	None	None	1e-06	-0.001	166.15
14	-90.62042754	1260	(10, 14, 9)	5.697	1e-05	840.0	None	None	0.5	None	None	1e-06	-0.001	184.009
14	-90.6203502	1260	(10, 14, 9)	5.697	1e-05	820.0	None	None	0.5	None	None	1e-06	-0.001	187.489
14	-90.62062159	1260	(10, 14, 9)	5.697	1e-05	880.0	None	None	0.5	None	None	1e-06	-0.001	190.692
14	-90.62094846	1260	(10, 14, 9)	5.697	1e-05	920.0	None	None	0.5	None	None	1e-06	-0.001	209.417
14	-90.62076021	1260	(10, 14, 9)	5.697	1e-05	900.0	None	None	0.5	None	None	1e-06	-0.001	210.81
14	-90.62116846	1260	(10, 14, 9)	5.697	1e-05	940.0	None	None	0.5	None	None	1e-06	-0.001	218.866
14	-90.62139657	1260	(10, 14, 9)	5.697	1e-05	960.0	None	None	0.5	None	None	1e-06	-0.001	231.509
14	-90.62162762	1260	(10, 14, 9)	5.697	1e-05	980.0	None	None	0.5	None	None	1e-06	-0.001	236.177
14	-90.62186602	1260	(10, 14, 9)	5.697	1e-05	1000.0	None	None	0.5	None	None	1e-06	-0.001	240.318
14	-90.62233808	1260	(10, 14, 9)	5.697	1e-05	1040.0	None	None	0.5	None	None	1e-06	-0.001	247.958
14	-90.62210639	1260	(10, 14, 9)	5.697	1e-05	1020.0	None	None	0.5	None	None	1e-06	-0.001	255.571
14	-90.62273366	1260	(10, 14, 9)	5.697	1e-05	1080.0	None	None	0.5	None	None	1e-06	-0.001	295.992
14	-90.62254916	1260	(10, 14, 9)	5.697	1e-05	1060.0	None	None	0.5	None	None	1e-06	-0.001	296.083
14	-90.62288802	1260	(10, 14, 9)	5.697	1e-05	1100.0	None	None	0.5	None	None	1e-06	-0.001	322.869
14	-90.62301122	1260	(10, 14, 9)	5.697	1e-05	1120.0	None	None	0.5	None	None	1e-06	-0.001	329.085
14	-90.62323846	1260	(10, 14, 9)	5.697	1e-05	1180.0	None	None	0.5	None	None	1e-06	-0.001	875.214
14	-90.62318284	1260	(10, 14, 9)	5.697	1e-05	1160.0	None	None	0.5	None	None	1e-06	-0.001	881.934
14	-90.62327697	1260	(10, 14, 9)	5.697	1e-05	1200.0	None	None	0.5	None	None	1e-06	-0.001	892.055
14	-90.6231085	1260	(10, 14, 9)	5.697	1e-05	1140.0	None	None	0.5	None	None	1e-06	-0.001	899.853
