total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)
14	-90.5818553	1.8791428	8721	1260	(19, 27, 17)	5.697	1e-05	400.0	None	None	0.5	None	None	1e-06	-0.001	511.346
14	-90.58051843	1.87914471	8721	1260	(19, 27, 17)	5.697	1e-05	440.0	None	None	0.5	None	None	1e-06	-0.001	559.244
14	-90.58113721	1.87915476	8721	1260	(19, 27, 17)	5.697	1e-05	420.0	None	None	0.5	None	None	1e-06	-0.001	622.553
14	-90.5883835	1.87872604	8721	1260	(19, 27, 17)	5.697	1e-05	520.0	None	None	0.5	None	None	1e-06	-0.001	671.638
14	-90.58126933	1.87908988	8721	1260	(19, 27, 17)	5.697	1e-05	460.0	None	None	0.5	None	None	1e-06	-0.001	692.644
14	-90.58533363	1.87887621	8721	1260	(19, 27, 17)	5.697	1e-05	500.0	None	None	0.5	None	None	1e-06	-0.001	731.696
14	-90.59152105	1.87855377	8721	1260	(19, 27, 17)	5.697	1e-05	540.0	None	None	0.5	None	None	1e-06	-0.001	734.96
14	-90.58279797	1.87899888	8721	1260	(19, 27, 17)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001	737.315
14	-90.59485373	1.87837939	8721	1260	(19, 27, 17)	5.697	1e-05	560.0	None	None	0.5	None	None	1e-06	-0.001	754.915
14	-90.5983264	1.87821893	8721	1260	(19, 27, 17)	5.697	1e-05	580.0	None	None	0.5	None	None	1e-06	-0.001	786.819
14	-90.60144536	1.87807066	8721	1260	(19, 27, 17)	5.697	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	812.944
14	-90.60425793	1.87794625	8721	1260	(19, 27, 17)	5.697	1e-05	620.0	None	None	0.5	None	None	1e-06	-0.001	884.803
14	-90.60676354	1.87784372	8721	1260	(19, 27, 17)	5.697	1e-05	640.0	None	None	0.5	None	None	1e-06	-0.001	941.265
14	-90.61056418	1.8776939	8721	1260	(19, 27, 17)	5.697	1e-05	680.0	None	None	0.5	None	None	1e-06	-0.001	961.312
14	-90.60886517	1.87775734	8721	1260	(19, 27, 17)	5.697	1e-05	660.0	None	None	0.5	None	None	1e-06	-0.001	962.864
14	-90.61185957	1.87764966	8721	1260	(19, 27, 17)	5.697	1e-05	700.0	None	None	0.5	None	None	1e-06	-0.001	1052.792
14	-90.61273778	1.87761703	8721	1260	(19, 27, 17)	5.697	1e-05	720.0	None	None	0.5	None	None	1e-06	-0.001	1058.48
14	-90.61330211	1.87759674	8721	1260	(19, 27, 17)	5.697	1e-05	740.0	None	None	0.5	None	None	1e-06	-0.001	1154.423
14	-90.61367932	1.87758352	8721	1260	(19, 27, 17)	5.697	1e-05	760.0	None	None	0.5	None	None	1e-06	-0.001	1181.709
14	-90.61407503	1.87756987	8721	1260	(19, 27, 17)	5.697	1e-05	820.0	None	None	0.5	None	None	1e-06	-0.001	1241.206
14	-90.61390415	1.87757624	8721	1260	(19, 27, 17)	5.697	1e-05	780.0	None	None	0.5	None	None	1e-06	-0.001	1335.761
14	-90.61424358	1.87756398	8721	1260	(19, 27, 17)	5.697	1e-05	860.0	None	None	0.5	None	None	1e-06	-0.001	1352.921
14	-90.61401	1.87757247	8721	1260	(19, 27, 17)	5.697	1e-05	800.0	None	None	0.5	None	None	1e-06	-0.001	1374.619
14	-90.61415267	1.87756707	8721	1260	(19, 27, 17)	5.697	1e-05	840.0	None	None	0.5	None	None	1e-06	-0.001	1399.567
14	-90.61434644	1.87755953	8721	1260	(19, 27, 17)	5.697	1e-05	880.0	None	None	0.5	None	None	1e-06	-0.001	1442.107
14	-90.6155908	1.87750648	8721	1260	(19, 27, 17)	5.697	1e-05	1000.0	None	None	0.5	None	None	1e-06	-0.001	1490.631
14	-90.61467366	1.87754624	8721	1260	(19, 27, 17)	5.697	1e-05	920.0	None	None	0.5	None	None	1e-06	-0.001	1574.91
14	-90.61448489	1.87755353	8721	1260	(19, 27, 17)	5.697	1e-05	900.0	None	None	0.5	None	None	1e-06	-0.001	1577.744
14	-90.61535269	1.87751657	8721	1260	(19, 27, 17)	5.697	1e-05	980.0	None	None	0.5	None	None	1e-06	-0.001	1687.527
14	-90.61489375	1.87753695	8721	1260	(19, 27, 17)	5.697	1e-05	940.0	None	None	0.5	None	None	1e-06	-0.001	1689.536
14	-90.6151217	1.87752692	8721	1260	(19, 27, 17)	5.697	1e-05	960.0	None	None	0.5	None	None	1e-06	-0.001	1784.078
14	-90.6160627	1.87748645	8721	1260	(19, 27, 17)	5.697	1e-05	1040.0	None	None	0.5	None	None	1e-06	-0.001	1950.73
14	-90.6158318	1.8774962	8721	1260	(19, 27, 17)	5.697	1e-05	1020.0	None	None	0.5	None	None	1e-06	-0.001	1985.315
14	-90.61661276	1.87746283	8721	1260	(19, 27, 17)	5.697	1e-05	1100.0	None	None	0.5	None	None	1e-06	-0.001	2241.283
