total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)
14	-90.57564878	-0.05813193	-89.76180176	1260	(10, 14, 9)	360.0
14	-90.58596424	-0.05820456	-89.7711004	1260	(10, 14, 9)	380.0
14	-90.58813096	-0.05825858	-89.77251084	1260	(10, 14, 9)	400.0
14	-90.58741278	-0.05827514	-89.77156081999999	1260	(10, 14, 9)	420.0
14	-90.58679508	-0.05827184	-89.77098932	1260	(10, 14, 9)	440.0
14	-90.58754504	-0.0582848	-89.77155784	1260	(10, 14, 9)	460.0
14	-90.58907388	-0.05827492	-89.773225	1260	(10, 14, 9)	480.0
14	-90.59161162	-0.05827765	-89.77572452	1260	(10, 14, 9)	500.0
14	-90.59465781	-0.05827939	-89.77874635	1260	(10, 14, 9)	520.0
14	-90.59780018	-0.05826457	-89.7820962	1260	(10, 14, 9)	540.0
14	-90.60112638	-0.05825604	-89.78554181999999	1260	(10, 14, 9)	560.0
