total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)
14	-90.57564878	-0.05813193	-6.411557268571428	1260	(10, 14, 9)	360.0
14	-90.58596424	-0.05820456	-6.412221457142857	1260	(10, 14, 9)	380.0
14	-90.58813096	-0.05825858	-6.412322202857142	1260	(10, 14, 9)	400.0
14	-90.58741278	-0.05827514	-6.412254344285714	1260	(10, 14, 9)	420.0
14	-90.58679508	-0.05827184	-6.412213522857143	1260	(10, 14, 9)	440.0
14	-90.58754504	-0.0582848	-6.412254131428571	1260	(10, 14, 9)	460.0
14	-90.58907388	-0.05827492	-6.412373214285714	1260	(10, 14, 9)	480.0
14	-90.59161162	-0.05827765	-6.4125517514285715	1260	(10, 14, 9)	500.0
14	-90.59465781	-0.05827939	-6.412767596428572	1260	(10, 14, 9)	520.0
14	-90.59780018	-0.05826457	-6.413006871428571	1260	(10, 14, 9)	540.0
14	-90.60112638	-0.05825604	-6.413252987142856	1260	(10, 14, 9)	560.0
14	-90.60460383	-0.05825652	-6.413500896428571	1260	(10, 14, 9)	580.0
14	-90.60772594	-0.05825252	-6.413727904285714	1260	(10, 14, 9)	600.0
14	-90.61053837	-0.05825454	-6.413926772142857	1260	(10, 14, 9)	620.0
14	-90.61303712	-0.05825427	-6.414105524285715	1260	(10, 14, 9)	640.0
14	-90.61513936	-0.05825501	-6.414254944285714	1260	(10, 14, 9)	660.0
14	-90.61683732	-0.05825699	-6.414374247142858	1260	(10, 14, 9)	680.0
14	-90.61813485	-0.05825861	-6.414465307857143	1260	(10, 14, 9)	700.0
14	-90.61901351	-0.05825797	-6.414528709285714	1260	(10, 14, 9)	720.0
14	-90.61957665	-0.05825678	-6.414570123571429	1260	(10, 14, 9)	740.0
14	-90.6199545	-0.05825889	-6.414595002857143	1260	(10, 14, 9)	760.0
14	-90.62017962	-0.05826168	-6.414608292857143	1260	(10, 14, 9)	780.0
14	-90.62028494	-0.05826198	-6.414615515714287	1260	(10, 14, 9)	800.0
