total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
14	-90.60710905	-0.05825251	-89.79157391000001	1260	(10, 14, 9)	600.0	0.9995	5.6941515
14	-90.60772594	-0.05825252	-89.79219065999999	1260	(10, 14, 9)	600.0	1.0	5.697
14	-90.60799891	-0.05825261	-89.79246237000001	1260	(10, 14, 9)	600.0	1.001	5.702697
14	-90.60804018	-0.05825258	-89.79250406	1260	(10, 14, 9)	600.0	1.0006	5.7004182
14	-90.60802286	-0.05825258	-89.79248674	1260	(10, 14, 9)	600.0	1.0005	5.6998485
14	-90.6080286	-0.0582526	-89.7924922	1260	(10, 14, 9)	600.0	1.0009	5.7021273
14	-90.60617684	-0.05825248	-89.79064212	1260	(10, 14, 9)	600.0	0.999	5.691303
14	-90.60804901	-0.05825258	-89.79251289	1260	(10, 14, 9)	600.0	1.0007	5.7009879
14	-90.60804551	-0.0582526	-89.79250911	1260	(10, 14, 9)	600.0	1.0008	5.7015576
14	-90.60700669	-0.05825308	-89.79146357	1260	(10, 14, 9)	600.0	1.002	5.708394
14	-90.60766081	-0.05825314	-89.79211685	1260	(10, 14, 9)	600.0	1.0015	5.7055455
