Total Kpoints	Kpoints(X Y Z)	Lattice Constant	Free Energy
1	(1, 1, 1)	5.697	-85.5748322
12	(2, 3, 2)	5.697	-90.26759838
36	(3, 4, 3)	5.697	-90.25883014
96	(4, 6, 4)	5.697	-90.5816238
175	(5, 7, 5)	5.697	-90.61484421
288	(6, 8, 6)	5.697	-90.59501028
420	(7, 10, 6)	5.697	-90.56550119
616	(8, 11, 7)	5.697	-90.56627753
936	(9, 13, 8)	5.697	-90.57856421
1260	(10, 14, 9)	5.697	-90.58706806
1650	(11, 15, 10)	5.697	-90.58278544
2244	(12, 17, 11)	5.697	-90.57832194
2808	(13, 18, 12)	5.697	-90.57778735
3640	(14, 20, 13)	5.697	-90.58054813
4410	(15, 21, 14)	5.697	-90.58314962
5520	(16, 23, 15)	5.697	-90.58207491
6528	(17, 24, 16)	5.697	-90.58006636
7650	(18, 25, 17)	5.697	-90.57976483
8721	(19, 27, 17)	5.697	-90.58079349
10080	(20, 28, 18)	5.697	-90.58175553
13640	(22, 31, 20)	5.697	-90.58075591
