 q-point No.           q_x           q_y           q_z  q-path length
           1      0.000000      0.000000      0.000000       0.000000
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1      -0.003382      -0.021250      -0.112813      -0.013987
           2      -0.002447      -0.015373      -0.081614      -0.010119
           3      -0.001217      -0.007645      -0.040586      -0.005032
           4       3.947164      24.800761     131.663212      16.324150
           5       6.499217      40.835787     216.790556      26.878591
           6       6.855426      43.073909     228.672383      28.351749
           7       7.644028      48.028843     254.977324      31.613145
           8       8.334832      52.369293     278.020065      34.470079
           9       9.058856      56.918470     302.170906      37.464401
          10      10.198830      64.081137     340.196340      42.178951
          11      11.036394      69.343710     368.134486      45.642839
          12      11.286219      70.913404     376.467738      46.676030
          13      13.352699      83.897482     445.398099      55.222301
          14      13.756299      86.433375     458.860743      56.891456
          15      14.743025      92.633157     491.774377      60.972224
          16      16.110379     101.224496     537.384400      66.627144
          17      17.354410     109.040971     578.880792      71.772039
          18      17.638963     110.828871     588.372465      72.948856
          19      17.701752     111.223389     590.466898      73.208532
          20      18.307711     115.030738     610.679494      75.714573
          21      18.799927     118.123423     627.098055      77.750215
          22      18.980714     119.259342     633.128463      78.497890
          23      19.170910     120.454376     639.472706      79.284475
          24      20.003449     125.685376     667.243233      82.727580
          25      21.000929     131.952725     700.515574      86.852823
          26      21.109494     132.634862     704.136926      87.301813
          27      21.692855     136.300229     723.595766      89.714401
          28      21.819402     137.095342     727.816890      90.237753
          29      22.377909     140.604548     746.446697      92.547554
          30      22.406916     140.786804     747.414262      92.667516
          31      22.441925     141.006772     748.582034      92.812302
          32      27.457583     172.521083     915.886391     113.555389
          33      27.496584     172.766134     917.187328     113.716684
          34      27.792587     174.625972     927.060903     114.940851
          35      28.442017     178.706461     948.723557     117.626677
          36      28.975848     182.060620     966.530241     119.834423
          37      31.758391     199.543856    1059.345901     131.342093
          38      34.316816     215.618915    1144.685778     141.922885
          39      35.479516     222.924374    1183.469272     146.731423
          40      35.930050     225.755162    1198.497463     148.594680
          41      36.445368     228.992996    1215.686602     150.725861
          42      37.316968     234.469424    1244.760068     154.330510
--
 q-point No.           q_x           q_y           q_z  q-path length
           2      0.000000      0.026316      0.000000       0.004168
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1      -0.041787      -0.262555      -1.393860      -0.172816
           2       0.466554       2.931445      15.562564       1.929511
           3       0.552467       3.471255      18.428327       2.284820
           4       3.937214      24.738246     131.331328      16.283002
           5       6.506600      40.882170     217.036798      26.909121
           6       6.860277      43.104392     228.834214      28.371814
           7       7.646395      48.043715     255.056276      31.622934
           8       8.327490      52.323165     277.775181      34.439718
           9       9.066327      56.965411     302.420107      37.495298
          10      10.193379      64.046889     340.014522      42.156409
          11      11.038875      69.359298     368.217242      45.653099
          12      11.280086      70.874871     376.263171      46.650667
          13      13.352901      83.898748     445.404818      55.223134
          14      13.755311      86.427169     458.827792      56.887370
          15      14.731449      92.560424     491.388247      60.924350
          16      16.087940     101.083509     536.635920      66.534344
          17      17.354255     109.040002     578.875647      71.771401
          18      17.644066     110.860935     588.542689      72.969961
          19      17.706037     111.250309     590.609811      73.226251
          20      18.305319     115.015710     610.599714      75.704682
          21      18.796059     118.099119     626.969028      77.734217
          22      18.990958     119.323706     633.470165      78.540255
          23      19.170472     120.451630     639.458127      79.282668
          24      20.006027     125.701577     667.329243      82.738244
          25      21.001571     131.956760     700.536996      86.855479
          26      21.106875     132.618403     704.049551      87.290980
          27      21.691744     136.293245     723.558688      89.709803
          28      21.817659     137.084394     727.758771      90.230547
          29      22.364483     140.520191     745.998856      92.492028
          30      22.421295     140.877151     747.893901      92.726984
          31      22.447650     141.042742     748.772994      92.835978
          32      27.457968     172.523500     915.899224     113.556980
          33      27.482572     172.678092     916.719929     113.658734
          34      27.790016     174.609816     926.975136     114.930217
          35      28.453388     178.777908     949.102858     117.673704
          36      28.973449     182.045546     966.450217     119.824501
          37      31.756716     199.533333    1059.290036     131.335167
          38      34.318887     215.631927    1144.754857     141.931449
          39      35.473665     222.887610    1183.274100     146.707225
          40      35.930753     225.759578    1198.520909     148.597587
          41      36.446995     229.003219    1215.740872     150.732590
          42      37.314284     234.452558    1244.670526     154.319408
--
 q-point No.           q_x           q_y           q_z  q-path length
           3      0.000000      0.052632      0.000000       0.008336
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1      -0.081113      -0.509650      -2.705651      -0.335458
           2       0.932253       5.857518      31.096610       3.855487
           3       1.104831       6.941855      36.853182       4.569210
           4       3.907611      24.552243     130.343868      16.160573
           5       6.528148      41.017564     217.755579      26.998239
           6       6.875217      43.198262     229.332550      28.433600
           7       7.653245      48.086754     255.284761      31.651262
           8       8.306421      52.190781     277.072375      34.352581
           9       9.087944      57.101234     303.141174      37.584698
          10      10.177099      63.944600     339.471487      42.089081
          11      11.046165      69.405104     368.460417      45.683249
          12      11.261702      70.759362     375.649954      46.574637
          13      13.353163      83.900397     445.413571      55.224220
          14      13.752378      86.408741     458.729962      56.875241
          15      14.697400      92.346490     490.252507      60.783537
          16      16.021515     100.666148     534.420222      66.259633
          17      17.353874     109.037604     578.862918      71.769823
          18      17.659183     110.955920     589.046948      73.032481
          19      17.718505     111.328649     591.025703      73.277815
          20      18.298357     114.971968     610.367495      75.675891
          21      18.784870     118.028816     626.595803      77.687943
          22      19.020792     119.511161     634.465330      78.663640
          23      19.169004     120.442402     639.409137      79.276594
          24      20.013727     125.749952     667.586056      82.770085
          25      21.003508     131.968929     700.601598      86.863488
          26      21.099371     132.571258     703.799265      87.259948
          27      21.688434     136.272446     723.448270      89.696113
          28      21.812453     137.051681     727.585099      90.209015
          29      22.332688     140.320413     744.938270      92.360533
          30      22.456398     141.097707     749.064794      92.872156
          31      22.463751     141.143912     749.310088      92.902569
          32      27.442401     172.425689     915.379961     113.492600
          33      27.459104     172.530638     915.937120     113.561678
          34      27.782397     174.561948     926.721011     114.898710
          35      28.485600     178.980301     950.177330     117.806922
          36      28.966294     182.000593     966.211572     119.794913
          37      31.751772     199.502263    1059.125091     131.314716
          38      34.325029     215.670513    1144.959704     141.956847
          39      35.456453     222.779462    1182.699957     146.636040
          40      35.932761     225.772197    1198.587901     148.605893
          41      36.451716     229.032886    1215.898370     150.752117
          42      37.306298     234.402383    1244.404156     154.286382
--
 q-point No.           q_x           q_y           q_z  q-path length
           4      0.000000      0.078947      0.000000       0.012503
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1      -0.115361      -0.724835      -3.848029      -0.477095
           2       1.396190       8.772520      46.571884       5.774175
           3       1.656949      10.410919      55.269877       6.852588
           4       3.859064      24.247215     128.724524      15.959800
           5       6.562014      41.230347     218.885209      27.138295
