X   Y   Z   Total
1   1   1   1
2   3   2   12
3   4   3   36
4   6   4   96
5   7   5   175
6   8   6   288
7   10  6   420
8   11  7   616
9   13  8   936
10  14  9   1260
11  16  10  1760
12  17  11  2244
13  18  12  2808
14  20  13  3640
15  21  14  4410
16  23  15  5520
17  24  16  6528
18  25  17  7650
19  27  17  8721
20  28  18  10080
21  30  19  11970
22  31  20  13640
23  32  21  15456
24  34  22  17952
25  35  23  20125
26  37  24  23088
27  38  25  25650
28  39  26  28392
29  41  27  32103
30  42  28  35280
31  44  28  38192
32  45  29  41760
33  47  30  46530
34  48  31  50592
35  49  32  54880
36  51  33  60588
37  52  34  65416
38  54  35  71820
39  55  36  77220
40  56  37  82880
